MANDT;LIFNR     ;LAND1;NAME1                              ;NAME2                              ;NAME3                              ;NAME4                              ;ORT01                              ;ORT02                              ;PFACH     ;PSTL2     ;PSTLZ     ;REGIO;SORTL     ;STRAS                              ;ADRNR     ;MCOD1                    ;MCOD2                    ;MCOD3                    ;ANRED          ;BAHNS                    ;BBBNR  ;BBSNR;BEGRU;BRSCH ;BUBKZ;DATLT         ;DTAMS;DTAWS;ERDAT     ;ERNAM       ;ESRNR      ;KONZS     ;KTOKK ;KUNNR       ;LNRZA       ;LOEVM;SPERR;SPERM;SPRAS;STCD1           ;STCD2      ;STKZA;STKZU;TELBX          ;TELF1           ;TELF2           ;TELFX                          ;TELTX                         ;TELX1                         ;XCPDK;XZEMP;VBUND   ;FISKN       ;STCEG               ;STKZN;SPERQ;GBORT                    ;GBDAT     ;SEXKZ;KRAUS      ;REVDB     ;QSSYS ;KTOCK ;PFORT                              ;WERKS;LTSNA;WERKR;PLKAL;DUEFL
800;111;DE   ;KBB Schwarze Pumpe                 ;                                   ;                                   ;                                   ;Frankenthal/Pfalz                  ;                                   ;          ;99999;67210;7;PUME      ;Fasanenstr. 8                      ;6947;KBB SCHWARZE PUMPE       ;                         ;FRANKENTHAL/PFALZ        ;               ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;05.05.1995;IDES        ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE159458525         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;200;US   ;SMP                                ;Fluid Power Division               ;                                   ;                                   ;ATLANTA                            ;FULTON                             ;          ;40849;30309;GA   ;AUTO      ;1730 Industrial Plaza              ;6948;SMP                      ;FLUID POWER DIVISION     ;ATLANTA                  ;Company        ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;11.08.1995;WEIS        ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE121145282         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;222;US   ;Express Vendor Inc                 ;                                   ;                                   ;                                   ;CHICAGO                            ;COOK                               ;          ;          ;60614;IL   ;LES       ;2550 North Racine Ave              ;15839;EXPRESS VENDOR INC       ;                         ;CHICAGO                  ;Company        ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;09.11.2001;TOMB        ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;708-947-5000    ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;300;US   ;AluCast                            ;                                   ;                                   ;                                   ;HILLSBOROUGH                       ;SOMERSET                           ;          ;22086;8844;NJ   ;AUTO      ;900 Edison Ave. Suite 300          ;6949;ALUCAST                  ;                         ;HILLSBOROUGH             ;Firma          ;                         ;0;0;     ;      ;0;              ;     ;     ;21.08.1995;WEIS        ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;424;US   ;Sedona Suppliers                   ;                                   ;                                   ;                                   ;RIMROCK                            ;YAVAPAI                            ;34446;12224;86335;AZ   ;SEDONA    ;3456 Red View Way                  ;6950;SEDONA SUPPLIERS         ;                         ;RIMROCK                  ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;24.02.1995;TOGUT       ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;602-444-5678    ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;500;DE   ;IDES AG New GL - (InterCompany Acco;                                   ;                                   ;                                   ;Berlin                             ;                                   ;          ;          ;          ;     ;IDES      ;1 Unter den Linden                 ;57126;IDES AG NEW GL - (INTERCO;                         ;BERLIN                   ;Company        ;                         ;0;0;     ;      ;0;              ;     ;     ;28.10.2006;I000641     ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;5;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;603;CA   ;Intercompany Resources US          ;                                   ;                                   ;                                   ;                                   ;                                   ;          ;          ;          ;     ;SERVICE PR;                                   ;36697;INTERCOMPANY RESOURCES US;                         ;                         ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;05.08.2002;SHEARMAN    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;604;CA   ;Intercompany Resources to Belgium  ;                                   ;                                   ;                                   ;                                   ;                                   ;          ;          ;          ;     ;SERVICE PR;                                   ;36698;INTERCOMPANY RESOURCES TO;                         ;                         ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;05.08.2002;SHEARMAN    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;605;CA   ;Intercompany Resources Canada      ;                                   ;                                   ;                                   ;                                   ;                                   ;          ;          ;          ;     ;SERVICE PR;                                   ;36699;INTERCOMPANY RESOURCES CA;                         ;                         ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;05.08.2002;SHEARMAN    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;935;US   ;Burton's Machine Shop              ;                                   ;                                   ;                                   ;TULIA                              ;SWISHER                            ;          ;          ;79088;TX   ;JTE       ;813 North El Paso                  ;45955;BURTON'S MACHINE SHOP    ;                         ;TULIA                    ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;10.03.2004;EARGLE      ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;954;US   ;Ander Group                        ;                                   ;                                   ;                                   ;ATLANTA                            ;FULTON                             ;          ;          ;30342;GA   ;MG        ;1234 Blue Jay Cr.                  ;45297;ANDER GROUP              ;                         ;ATLANTA                  ;Company        ;                         ;0;0;     ;      ;0;              ;     ;     ;13.02.2004;GOLLARZA    ;           ;          ;1;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1000;DE   ;C.E.B. BERLIN                      ;                                   ;                                   ;                                   ;Berlin                             ;                                   ;          ;          ;12001;11;ALLGEMEIN ;Kolping Str. 15                    ;6951;C.E.B. BERLIN            ;                         ;BERLIN                   ;Company        ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;07.11.1994;KEHNE       ;           ;          ;1;1000;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;06894/55501-0   ;                ;06894/55501-100                ;                              ;                              ;     ;X    ;        ;            ;DE322156687         ;     ;     ;                         ;00.00.0000;     ;210010661;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1001;DE   ;SKF Kugelmeier KGaA                ;                                   ;                                   ;                                   ;Schweinfurt                        ;                                   ;          ;          ;97341;     ;AUTO/PUMPE;Georg. Schiffer-str. 21            ;6952;SKF KUGELMEIER KGAA      ;                         ;SCHWEINFURT              ;Company        ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;19.05.1995;OBORNY      ;           ;          ;1;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;654-555-9876    ;                ;654-555-9877                   ;                              ;                              ;     ;     ;        ;            ;DE345267896         ;     ;     ;                         ;00.00.0000;     ;210081725;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1002;DE   ;Müller KG                          ;                                   ;                                   ;                                   ;Rosenheim                          ;                                   ;          ;87318;83204;     ;AUFZÜGE   ;Rosenstraße 11                     ;6953;MÜLLER KG                ;                         ;ROSENHEIM                ;               ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;30.05.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;0873/111133                    ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1003;US   ;Gusswerk US                        ;                                   ;                                   ;                                   ;HARBOR CITY                        ;LOS ANGELES                        ;          ;70456;90710;CA   ;AUTO      ;310 Marine Ave                     ;6954;GUSSWERK US              ;                         ;HARBOR CITY              ;               ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;07.06.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE331254285         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1004;GB   ;Jones Ltd.                         ;                                   ;                                   ;                                   ;W1 Londond                         ;                                   ;234000;67108;67102;     ;AUTO      ;Oxford road 7                      ;6955;JONES LTD.               ;                         ;W1 LONDOND               ;               ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;30.05.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;X    ;     ;X    
800;1005;DE   ;PAQ Deutschland GmbH               ;                                   ;                                   ;                                   ;Manheim                            ;                                   ;          ;68309;68301;6;ELEKTO    ;Haupstrasse 122                    ;6956;PAQ DEUTSCHLAND GMBH     ;                         ;MANHEIM                  ;               ;                         ;0;0;     ;HITE  ;0;              ;     ;     ;30.05.1995;IHLEP       ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE654982245         ;     ;     ;                         ;00.00.0000;     ;212044564;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1006;DE   ;Blacks AG                          ;                                   ;                                   ;                                   ;Frankfurt/Main                     ;                                   ;          ;60111;66000;6;CHEMIE    ;Mainzer Straße 97                  ;6957;BLACKS AG                ;                         ;FRANKFURT/MAIN           ;               ;                         ;0;0;     ;CHEM  ;0;              ;     ;     ;30.05.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE664578213         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1007;DE   ;Bike Retail & Co.                  ;                                   ;                                   ;                                   ;Hannover                           ;                                   ;          ;          ;30095;3;BIKE      ;Hauptstrasse 5                     ;6958;BIKE RETAIL & CO.        ;                         ;HANNOVER                 ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;11.05.1995;EERENBEEMT  ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE214598335         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1008;GB   ;Motor constructions Ltd.           ;                                   ;                                   ;                                   ;Leeds                              ;                                   ;LS14      ;1234;12345;     ;AUTO      ;Coal road  117                     ;6959;MOTOR CONSTRUCTIONS LTD. ;                         ;LEEDS                    ;               ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;07.06.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;GB441664591         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1009;DE   ;Parts & Pipes                      ;                                   ;                                   ;                                   ;Zuffenhausen                       ;                                   ;          ;72345;79001;8;MM-PUR    ;Schillerstr.5                      ;6960;PARTS & PIPES            ;                         ;ZUFFENHAUSEN             ;               ;                         ;0;0;     ;      ;0;              ;     ;     ;13.06.1995;D020411     ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE354679154         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1010;DE   ;Sunny Electronics GmbH             ;                                   ;                                   ;                                   ;Stuttgart                          ;                                   ;          ;          ;72345;8;ELEKTRO   ;Rosenstr. 77                       ;6961;SUNNY ELECTRONICS GMBH   ;                         ;STUTTGART                ;               ;                         ;0;0;     ;HITE  ;0;              ;     ;     ;01.06.1995;D020411     ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE564613217         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1011;US   ;SKF Americas                       ;                                   ;                                   ;                                   ;NEWARK                             ;NEW CASTLE                         ;          ;97201;19711;DE   ;AUTO/PUMPE;100 E. Cleveland Ave               ;6962;SKF AMERICAS             ;                         ;NEWARK                   ;               ;                         ;0;0;     ;MBAU  ;0;              ;     ;     ;07.06.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE254624545         ;     ;     ;                         ;00.00.0000;     ;210083296;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1012;DE   ;Reihl & Müller                     ;                                   ;                                   ;                                   ;Braunschweig                       ;                                   ;          ;          ;38504;     ;CHEMIE    ;Wisperallee 59                     ;7078;REIHL & MÜLLER           ;                         ;BRAUNSCHWEIG             ;               ;                         ;0;0;     ;CHEM  ;0;              ;     ;     ;02.04.1996;BARTHEL     ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1013;DE   ;Real Estate Agency Hamburg         ;                                   ;                                   ;                                   ;Hamburg                            ;                                   ;          ;          ;22605;     ;IMMOBILIEN;Zickzackweg 2                      ;9671;REAL ESTATE AGENCY HAMBUR;                         ;HAMBURG                  ;Company        ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;20.08.1999;OLBERT      ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;040-7845987     ;                ;                               ;                              ;                              ;     ;X    ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1014;DE   ;Herrmann & Riemer                  ;                                   ;                                   ;                                   ;Holzminden                         ;                                   ;          ;          ;37603;     ;CHEMIE    ;Runerthalstraße 1                  ;7140;HERRMANN & RIEMER        ;                         ;HOLZMINDEN               ;               ;                         ;0;0;     ;CHEM  ;0;              ;     ;     ;03.03.1998;D002418     ;           ;          ;1;7779;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;05531-636-0     ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1015;DE   ;Wollner AG                         ;                                   ;                                   ;                                   ;Aachen                             ;                                   ;          ;          ;52078;     ;ELEKTRO   ;Am Tiergarten 189                  ;7113;WOLLNER AG               ;                         ;AACHEN                   ;Company        ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;07.02.1996;BARTHEL     ;           ;          ;1;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;210083296;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
800;1018;CH   ;Bechtle direct AG                  ;                                   ;                                   ;                                   ;Gland                              ;                                   ;          ;          ;1196;     ;BECHTLE   ;Route des Avouillons 12            ;116416;BECHTLE DIRECT AG        ;                         ;GLAND                    ;               ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;10.08.2009;GRAUENHORST ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;E    ;                ;           ;     ;     ;               ;848-810 410     ;                ;848-810 411                    ;                              ;                              ;     ;X    ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1020;DE   ;Grosshandel-Baden USA              ;                                   ;                                   ;                                   ;Manheim                            ;                                   ;          ;68210;68309;     ;ELEKTRO   ;Kafertaler Str. 12                 ;6963;GROSSHANDEL-BADEN USA    ;                         ;MANHEIM                  ;Company        ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;07.06.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;DE642135648         ;     ;     ;                         ;00.00.0000;     ;210083296;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1021;DE   ;Noe´Tech Company AG                ;                                   ;                                   ;                                   ;Freiburg                           ;                                   ;21345;12345;23456;     ;ELEKTRO   ;Tittisee Ring 31                   ;6964;NOE´TECH COMPANY AG      ;                         ;FREIBURG                 ;               ;                         ;0;0;     ;TRAD  ;0;              ;     ;     ;07.06.1995;BARTHELF    ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1022;DE   ;Max´Grosshandel                    ;                                   ;                                   ;                                   ;Hamburg                            ;                                   ;          ;22009;23156;     ;FOOD      ;Industriestrasse 29                ;6965;MAX´GROSSHANDEL          ;                         ;HAMBURG                  ;               ;                         ;0;0;     ;FOOD  ;0;              ;     ;     ;07.06.1995;VELILLA     ;           ;          ;LIEF  ;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;                ;                ;                               ;                              ;                              ;     ;     ;        ;            ;                    ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;X    ;X    ;     ;X    
800;1023;DE   ;Molkereigenossenschaft Brandenburg ;                                   ;                                   ;                                   ;Postdam                            ;                                   ;          ;          ;14480;12;MOLKEREI  ;Steinstraße 102                    ;12075;MOLKEREIGENOSSENSCHAFT BR;                         ;POSTDAM                  ;               ;                         ;0;0;     ;FOOD  ;0;              ;     ;     ;08.11.2000;OBERBOERSCHG;           ;          ;1;            ;            ;     ;     ;     ;D    ;                ;           ;     ;     ;               ;0331/38537-00   ;                ;0331/38537-10                  ;                              ;                              ;     ;X    ;        ;            ;DE586458526         ;     ;     ;                         ;00.00.0000;     ;           ;00.00.0000;      ;      ;                                   ;     ;     ;     ;     ;X    
